run_dir,calibration_tau,model,threshold_mode,jitter,realized_nn_median,target_poison_ratio,n_seeds,damage,delta_fpr_mean,delta_fpr_std,delta_tpr_mean,delta_tpr_std,sigma_control,clears_2sigma
cicids,0.0,rf,recalibrated,0.03,0.031457928635491225,0.005,5,-0.030850287752289908,0.0002599999999999998,0.0005949264660443336,0.030850287752289908,0.03506061686384161,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09100813636040211,0.005,5,-0.03106103590824354,0.0003099999999999995,0.00041102007250254846,0.03106103590824354,0.0374179350174965,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.25203698837677635,0.005,5,-0.026602901839993566,0.0003249999999999996,0.0004996874022826671,0.026602901839993566,0.0366502355581854,0.030293837226850386,False
cicids,0.0,rf,recalibrated,1.5,1.0610277222805933,0.005,5,-0.024916916592364457,0.00027499999999999953,0.0004799088455113116,0.024916916592364457,0.031322027185429896,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.0,0.010494820840572353,0.01,5,-0.017913593256059034,4.4999999999999556e-05,0.0006253499020548417,0.017913593256059034,0.033316441470061596,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.01,0.01428035207804062,0.01,5,-0.037237578017346194,0.00017999999999999925,0.0003894707947972483,0.037237578017346194,0.031864550609138356,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.030986235436547927,0.01,5,-0.03253627299991897,-3.0000000000000512e-05,0.00038866759576790065,0.03253627299991897,0.0247296606013707,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09032301474981078,0.01,5,-0.02493312798897627,6.999999999999957e-05,0.0005898622720601824,0.02493312798897627,0.03183479343216047,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.25600611954755365,0.01,5,-0.006160330712490914,-0.0002750000000000006,0.0011651180197731047,0.006160330712490914,0.04198337028226993,0.030293837226850386,False
cicids,0.0,rf,recalibrated,1.5,1.0628672291709718,0.01,5,-0.0037610440139418167,-2.0000000000000574e-05,0.0006713791775144653,0.0037610440139418167,0.03936151634703987,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.0,0.010353908058669573,0.02,5,0.000794358433979081,0.0002949999999999998,0.0004277119357698592,-0.000794358433979081,0.03541213446040571,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.01,0.013824327365341147,0.02,5,0.018140552808624456,0.00014499999999999965,0.0006418722614352489,-0.018140552808624456,0.0287397818264031,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.02,0.022049220694563384,0.02,5,0.017621788117046268,0.00019999999999999982,0.0005681659088681758,-0.017621788117046268,0.03430150136027462,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.03,0.030852270334861414,0.02,5,0.016697738510172644,3.499999999999996e-05,0.0006897916352058785,-0.016697738510172644,0.04340266530593962,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.05,0.048231209145673755,0.02,5,0.02457647726351624,0.00012499999999999976,0.0004430011286667339,-0.02457647726351624,0.04729455817790765,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.07,0.06536318929610631,0.02,5,0.03809678203777256,0.0001499999999999998,0.0006955213871621782,-0.03809678203777256,0.03983664162780061,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.1,0.09062948250900545,0.02,5,-0.003906946583448168,0.00026499999999999994,0.0005438864771255121,0.003906946583448168,0.031399481180364466,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.2,0.17278407595355014,0.02,5,0.03535705601037524,0.0001249999999999994,0.00023651109910530676,-0.03535705601037524,0.01565149265599433,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.3,0.2556677139142656,0.02,5,0.045618870065656146,0.0001499999999999998,0.0005108204185425642,-0.045618870065656146,0.049677331251108806,0.030293837226850386,False
cicids,0.0,rf,recalibrated,0.7,0.5602404002212811,0.02,5,0.06578584745075784,0.0003249999999999996,0.0005028046340279692,-0.06578584745075784,0.037576123754208046,0.030293837226850386,True
cicids,0.0,rf,recalibrated,1.5,1.0621106413443386,0.02,5,0.04510010537407796,-3.0000000000000512e-05,0.0008837774041012815,-0.04510010537407796,0.042291577037484464,0.030293837226850386,False
